T10Y3MM,T10Y2YM,TB3MS,FEDFUNDS,MPRIME,GS3M,T10YFFM,EXUSUK,GS10,GS2
2.66,2.24,1.13,1.25,4.25,1.15,2.56,1.5825,3.81,1.57
2.81,2.34,1.13,1.26,4.25,1.15,2.7,1.5739,3.96,1.62
2.48,2.15,1.07,1.26,4.25,1.09,2.31,1.6224,3.57,1.42
2.39,2.1,0.92,1.22,4.22,0.94,2.11,1.6609,3.33,1.23
3.06,2.51,0.9,1.01,4,0.92,2.97,1.6221,3.98,1.47
3.48,2.59,0.95,1.03,4,0.97,3.42,1.5939,4.45,1.86
3.31,2.56,0.94,1.01,4,0.96,3.26,1.6155,4.27,1.71
3.35,2.54,0.92,1.01,4,0.94,3.28,1.6792,4.29,1.75
3.35,2.37,0.93,1,4,0.95,3.3,1.6897,4.3,1.93
3.36,2.36,0.9,0.98,4,0.91,3.29,1.7516,4.27,1.91
3.25,2.39,0.88,1,4,0.9,3.15,1.8255,4.15,1.76
3.14,2.34,0.93,1.01,4,0.94,3.07,1.8673,4.08,1.74
2.88,2.25,0.94,1,4,0.95,2.83,1.8261,3.83,1.58
3.39,2.28,0.94,1,4,0.96,3.35,1.8031,4.35,2.07
3.68,2.19,1.02,1,4,1.04,3.72,1.786,4.72,2.53
3.44,1.97,1.27,1.03,4.01,1.29,3.7,1.8279,4.73,2.76
3.14,1.86,1.33,1.26,4.25,1.36,3.24,1.8438,4.5,2.64
2.78,1.77,1.48,1.43,4.43,1.5,2.85,1.8203,4.28,2.51
2.45,1.6,1.65,1.61,4.58,1.68,2.52,1.7937,4.13,2.53
2.31,1.52,1.76,1.76,4.75,1.79,2.34,1.8077,4.1,2.58
2.08,1.34,2.07,1.93,4.93,2.11,2.26,1.8607,4.19,2.85
2.01,1.22,2.19,2.16,5.15,2.22,2.07,1.9286,4.23,3.01
1.85,1,2.33,2.28,5.25,2.37,1.94,1.8797,4.22,3.22
1.59,0.79,2.54,2.5,5.49,2.58,1.67,1.8871,4.17,3.38
1.7,0.77,2.74,2.63,5.58,2.8,1.87,1.9043,4.5,3.73
1.5,0.69,2.78,2.79,5.75,2.84,1.55,1.8961,4.34,3.65
1.24,0.5,2.84,3,5.98,2.9,1.14,1.8559,4.14,3.64
0.96,0.36,2.97,3.04,6.01,3.04,0.96,1.8177,4,3.64
0.89,0.31,3.22,3.26,6.25,3.29,0.92,1.7507,4.18,3.87
0.74,0.22,3.44,3.5,6.44,3.52,0.76,1.7944,4.26,4.04
0.71,0.25,3.42,3.62,6.59,3.49,0.58,1.8064,4.2,3.95
0.67,0.19,3.71,3.78,6.75,3.79,0.68,1.7651,4.46,4.27
0.57,0.12,3.88,4,7,3.97,0.54,1.7349,4.54,4.42
0.5,0.07,3.89,4.16,7.15,3.97,0.31,1.7458,4.47,4.4
0.08,0.02,4.24,4.29,7.26,4.34,0.13,1.7686,4.42,4.4
