ds,y
2-Jan-18,5.70
2-Feb-18,5.70
2-Mar-18,5.70
2-Apr-18,5.90
2-May-18,5.80
2-Jun-18,5.80
2-Jul-18,5.80
2-Aug-18,5.70
2-Sep-18,5.70
2-Oct-18,5.70
2-Nov-18,5.90
2-Dec-18,6.00
3-Jan-18,5.80
3-Feb-18,5.90
3-Mar-18,5.90
3-Apr-18,6.00
3-May-18,6.10
3-Jun-18,6.30
3-Jul-18,6.20
3-Aug-18,6.10
3-Sep-18,6.10
3-Oct-18,6.00
3-Nov-18,5.80
3-Dec-18,5.70
4-Jan-18,5.70
4-Feb-18,5.60
4-Mar-18,5.80
4-Apr-18,5.60
4-May-18,5.60
4-Jun-18,5.60
4-Jul-18,5.50
4-Aug-18,5.40
4-Sep-18,5.40
4-Oct-18,5.50
4-Nov-18,5.40
4-Dec-18,5.40
5-Jan-18,5.30
5-Feb-18,5.40
5-Mar-18,5.20
5-Apr-18,5.20
5-May-18,5.10
5-Jun-18,5.00
5-Jul-18,5.00
5-Aug-18,4.90
5-Sep-18,5.00
5-Oct-18,5.00
5-Nov-18,5.00
5-Dec-18,4.90
6-Jan-18,4.70
6-Feb-18,4.80
6-Mar-18,4.70
6-Apr-18,4.70
6-May-18,4.60
6-Jun-18,4.60
6-Jul-18,4.70
6-Aug-18,4.70
6-Sep-18,4.50
6-Oct-18,4.40
6-Nov-18,4.50
6-Dec-18,4.40
7-Jan-18,4.60
7-Feb-18,4.50
7-Mar-18,4.40
7-Apr-18,4.50
7-May-18,4.40
7-Jun-18,4.60
7-Jul-18,4.70
7-Aug-18,4.60
7-Sep-18,4.70
7-Oct-18,4.70
7-Nov-18,4.70
7-Dec-18,5.00
8-Jan-18,5.00
8-Feb-18,4.90
8-Mar-18,5.10
8-Apr-18,5.00
8-May-18,5.40
8-Jun-18,5.60
8-Jul-18,5.80
8-Aug-18,6.10
8-Sep-18,6.10
8-Oct-18,6.50
8-Nov-18,6.80
8-Dec-18,7.30
9-Jan-18,7.80
9-Feb-18,8.30
9-Mar-18,8.70
9-Apr-18,9.00
9-May-18,9.40
9-Jun-18,9.50
9-Jul-18,9.50
9-Aug-18,9.60
9-Sep-18,9.80
9-Oct-18,10.00
9-Nov-18,9.90
9-Dec-18,9.90
10-Jan-18,9.80
10-Feb-18,9.80
10-Mar-18,9.90
10-Apr-18,9.90
10-May-18,9.60
10-Jun-18,9.40
10-Jul-18,9.40
10-Aug-18,9.50
10-Sep-18,9.50
10-Oct-18,9.40
10-Nov-18,9.80
10-Dec-18,9.30
11-Jan-18,9.10
11-Feb-18,9.00
11-Mar-18,9.00
11-Apr-18,9.10
11-May-18,9.00
11-Jun-18,9.10
11-Jul-18,9.00
11-Aug-18,9.00
11-Sep-18,9.00
11-Oct-18,8.80
11-Nov-18,8.60
11-Dec-18,8.50
12-Jan-18,8.30
12-Feb-18,8.30
12-Mar-18,8.20
12-Apr-18,8.20
12-May-18,8.20
12-Jun-18,8.20
12-Jul-18,8.20
12-Aug-18,8.10
12-Sep-18,7.80
12-Oct-18,7.80
12-Nov-18,7.70
12-Dec-18,7.90
13-Jan-18,8.00
13-Feb-18,7.70
13-Mar-18,7.50
13-Apr-18,7.60
13-May-18,7.50
13-Jun-18,7.50
13-Jul-18,7.30
13-Aug-18,7.20
13-Sep-18,7.20
13-Oct-18,7.20
13-Nov-18,6.90
13-Dec-18,6.70
14-Jan-18,6.60
14-Feb-18,6.70
14-Mar-18,6.70
14-Apr-18,6.30
14-May-18,6.30
14-Jun-18,6.10
14-Jul-18,6.20
14-Aug-18,6.20
14-Sep-18,5.90
14-Oct-18,5.70
14-Nov-18,5.80
14-Dec-18,5.60
15-Jan-18,5.70
15-Feb-18,5.50
15-Mar-18,5.50
15-Apr-18,5.40
15-May-18,5.50
15-Jun-18,5.30
15-Jul-18,5.20
15-Aug-18,5.10
15-Sep-18,5.00
15-Oct-18,5.00
15-Nov-18,5.00
15-Dec-18,5.00
16-Jan-18,4.90
16-Feb-18,4.90
16-Mar-18,5.00
16-Apr-18,5.00
16-May-18,4.70
16-Jun-18,4.90
16-Jul-18,4.90
16-Aug-18,4.90
16-Sep-18,5.00
16-Oct-18,4.90
16-Nov-18,4.60
16-Dec-18,4.70
17-Jan-18,4.80
17-Feb-18,4.70
17-Mar-18,4.50
17-Apr-18,4.40
17-May-18,4.30
17-Jun-18,4.30
17-Jul-18,4.30
17-Aug-18,4.40
17-Sep-18,4.20
17-Oct-18,4.10
17-Nov-18,4.10
17-Dec-18,4.10
18-Jan-18,4.10
18-Feb-18, 
18-Mar-18, 
18-Apr-18, 
18-May-18, 
18-Jun-18, 
18-Jul-18, 
18-Aug-18, 
18-Sep-18, 
18-Oct-18, 
18-Nov-18, 
18-Dec-18, 
